review,sentiment
"Amazing product, five stars!",1
The camera is overpriced for such low quality.,0
"Impressive book, customer service was also very helpful.",1
"Impressive watch, customer service was also very helpful.",1
"Terrible experience, the keyboard is defective and slow.",0
"Excellent quality book, fast delivery and great packaging.",1
"Great value for money, this jacket is fantastic.",1
"Great value for money, this speaker is fantastic.",1
"Best camera I have ever bought, highly recommend it.",1
"Best phone I have ever bought, highly recommend it.",1
"I regret buying this phone, it never worked properly.",0
"Terrible experience, the camera is defective and slow.",0
"The charger stopped working within a week, awful quality.",0
"The shoes works flawlessly, very happy with this purchase.",1
"Worst tablet I have purchased, do not recommend at all.",0
"I regret buying this jacket, it never worked properly.",0
"Great value for money, this monitor is fantastic.",1
"I love this jacket, works perfectly and looks great.",1
"Outstanding camera, arrived early and works perfectly.",1
"Extremely unhappy with this vacuum cleaner, requesting a refund.",0
"I regret buying this headphones, it never worked properly.",0
"Poor build quality, the blender feels cheap and flimsy.",0
"Very disappointed with this watch, waste of money.",0
"This camera is absolutely amazing, exceeded all my expectations!",1
"Broke immediately, avoid this seller.",0
"This printer was a huge disappointment, not worth it.",0
"Outstanding book, arrived early and works perfectly.",1
"The camera stopped working within a week, awful quality.",0
"Excellent quality printer, fast delivery and great packaging.",1
"Excellent quality blender, fast delivery and great packaging.",1
"I love this chair, works perfectly and looks great.",1
"Superb build quality on this book, worth every rupee.",1
"I love this camera, works perfectly and looks great.",1
"Do not buy, complete garbage.",0
"Cheap material, not durable at all.",0
"Do not buy, complete garbage.",0
"The monitor stopped working within a week, awful quality.",0
"This jacket was a huge disappointment, not worth it.",0
The phone arrived damaged and customer support was unhelpful.,0
The vacuum cleaner is overpriced for such low quality.,0
The phone is overpriced for such low quality.,0
"This watch made my life so much easier, thank you!",1
"Very satisfied with the printer, will buy again from this brand.",1
"This jacket is absolutely amazing, exceeded all my expectations!",1
"The speaker stopped working within a week, awful quality.",0
The book is overpriced for such low quality.,0
"This vacuum cleaner is absolutely amazing, exceeded all my expectations!",1
"Great value for money, this camera is fantastic.",1
"Excellent quality speaker, fast delivery and great packaging.",1
The blender is overpriced for such low quality.,0
"Extremely unhappy with this printer, requesting a refund.",0
The keyboard arrived damaged and customer support was unhelpful.,0
"Great value for money, this mouse is fantastic.",1
"This router is terrible, completely broke after two days.",0
"The phone stopped working within a week, awful quality.",0
"Very satisfied with the headphones, will buy again from this brand.",1
"Excellent quality shoes, fast delivery and great packaging.",1
"This monitor is absolutely amazing, exceeded all my expectations!",1
"Worst laptop I have purchased, do not recommend at all.",0
"Extremely unhappy with this keyboard, requesting a refund.",0
The vacuum cleaner arrived damaged and customer support was unhelpful.,0
"This chair was a huge disappointment, not worth it.",0
"The printer stopped working within a week, awful quality.",0
"Terrible experience, the blender is defective and slow.",0
"This blender made my life so much easier, thank you!",1
"The printer is durable, stylish, and performs really well.",1
"Amazing product, five stars!",1
"The router stopped working within a week, awful quality.",0
"Outstanding keyboard, arrived early and works perfectly.",1
"The keyboard is durable, stylish, and performs really well.",1
"The charger works flawlessly, very happy with this purchase.",1
"Excellent quality backpack, fast delivery and great packaging.",1
"This jacket is terrible, completely broke after two days.",0
"This printer is terrible, completely broke after two days.",0
"The keyboard broke on the first use, very frustrating.",0
"Impressive monitor, customer service was also very helpful.",1
"Impressive speaker, customer service was also very helpful.",1
"This book is absolutely amazing, exceeded all my expectations!",1
"Best jacket I have ever bought, highly recommend it.",1
"Best charger I have ever bought, highly recommend it.",1
"Do not buy, complete garbage.",0
"I regret buying this laptop, it never worked properly.",0
"This headphones is terrible, completely broke after two days.",0
"This keyboard is absolutely amazing, exceeded all my expectations!",1
"Poor build quality, the router feels cheap and flimsy.",0
"Poor build quality, the speaker feels cheap and flimsy.",0
"Amazing product, five stars!",1
"Broke immediately, avoid this seller.",0
"This printer is absolutely amazing, exceeded all my expectations!",1
"This phone is terrible, completely broke after two days.",0
"This tablet is terrible, completely broke after two days.",0
The watch is overpriced for such low quality.,0
"Terrible experience, the chair is defective and slow.",0
"The monitor works flawlessly, very happy with this purchase.",1
"The keyboard stopped working within a week, awful quality.",0
The backpack arrived damaged and customer support was unhelpful.,0
"Terrible experience, the phone is defective and slow.",0
"Very satisfied with the mouse, will buy again from this brand.",1
"I love this charger, works perfectly and looks great.",1
"This backpack was a huge disappointment, not worth it.",0
"Best tablet I have ever bought, highly recommend it.",1
"Outstanding chair, arrived early and works perfectly.",1
The chair is overpriced for such low quality.,0
"The vacuum cleaner stopped working within a week, awful quality.",0
"Money wasted, extremely poor quality.",0
"Poor build quality, the tablet feels cheap and flimsy.",0
"This monitor was a huge disappointment, not worth it.",0
"Extremely unhappy with this monitor, requesting a refund.",0
"Very satisfied with the vacuum cleaner, will buy again from this brand.",1
"The tablet is durable, stylish, and performs really well.",1
"Outstanding printer, arrived early and works perfectly.",1
The router is overpriced for such low quality.,0
"The shoes stopped working within a week, awful quality.",0
"Best router I have ever bought, highly recommend it.",1
"Very satisfied with the backpack, will buy again from this brand.",1
"Cheap material, not durable at all.",0
"Fantastic purchase, highly satisfied.",1
"This jacket made my life so much easier, thank you!",1
"Outstanding monitor, arrived early and works perfectly.",1
"The camera broke on the first use, very frustrating.",0
"This vacuum cleaner was a huge disappointment, not worth it.",0
"Excellent quality laptop, fast delivery and great packaging.",1
"This book was a huge disappointment, not worth it.",0
"I regret buying this keyboard, it never worked properly.",0
"This speaker is terrible, completely broke after two days.",0
"The printer broke on the first use, very frustrating.",0
"The mouse works flawlessly, very happy with this purchase.",1
"I regret buying this vacuum cleaner, it never worked properly.",0
"This headphones is absolutely amazing, exceeded all my expectations!",1
"I love this backpack, works perfectly and looks great.",1
"Poor build quality, the keyboard feels cheap and flimsy.",0
"Excellent quality charger, fast delivery and great packaging.",1
"The watch works flawlessly, very happy with this purchase.",1
"Best monitor I have ever bought, highly recommend it.",1
"Terrible experience, the headphones is defective and slow.",0
"Very disappointed with this backpack, waste of money.",0
"This speaker was a huge disappointment, not worth it.",0
"Superb build quality on this router, worth every rupee.",1
"I love this watch, works perfectly and looks great.",1
"The monitor broke on the first use, very frustrating.",0
"Poor build quality, the charger feels cheap and flimsy.",0
"I love this blender, works perfectly and looks great.",1
"Terrible experience, the tablet is defective and slow.",0
"This laptop made my life so much easier, thank you!",1
The charger is overpriced for such low quality.,0
"Superb build quality on this laptop, worth every rupee.",1
"Best vacuum cleaner I have ever bought, highly recommend it.",1
"Do not buy, complete garbage.",0
"Worst chair I have purchased, do not recommend at all.",0
The tablet is overpriced for such low quality.,0
"Terrible experience, the book is defective and slow.",0
"This phone made my life so much easier, thank you!",1
"Great value for money, this blender is fantastic.",1
"Best chair I have ever bought, highly recommend it.",1
"Terrible experience, the backpack is defective and slow.",0
"I love this tablet, works perfectly and looks great.",1
"Very disappointed with this headphones, waste of money.",0
"Worst mouse I have purchased, do not recommend at all.",0
"This charger is absolutely amazing, exceeded all my expectations!",1
"The mouse is durable, stylish, and performs really well.",1
The book arrived damaged and customer support was unhelpful.,0
The chair arrived damaged and customer support was unhelpful.,0
"Worst camera I have purchased, do not recommend at all.",0
"Superb build quality on this backpack, worth every rupee.",1
"The jacket stopped working within a week, awful quality.",0
"This tablet made my life so much easier, thank you!",1
"The chair works flawlessly, very happy with this purchase.",1
"Cheap material, not durable at all.",0
"Excellent quality tablet, fast delivery and great packaging.",1
"This shoes is terrible, completely broke after two days.",0
"Cheap material, not durable at all.",0
"Excellent quality monitor, fast delivery and great packaging.",1
The headphones arrived damaged and customer support was unhelpful.,0
"Poor build quality, the headphones feels cheap and flimsy.",0
"The charger is durable, stylish, and performs really well.",1
The router arrived damaged and customer support was unhelpful.,0
"The monitor is durable, stylish, and performs really well.",1
"Terrible experience, the laptop is defective and slow.",0
"Outstanding router, arrived early and works perfectly.",1
"This tablet was a huge disappointment, not worth it.",0
"Excellent quality watch, fast delivery and great packaging.",1
"Great value for money, this laptop is fantastic.",1
"Best watch I have ever bought, highly recommend it.",1
"Very disappointed with this camera, waste of money.",0
"Poor build quality, the chair feels cheap and flimsy.",0
"This book made my life so much easier, thank you!",1
"Impressive phone, customer service was also very helpful.",1
Good product but shipping was slow.,1
"Extremely unhappy with this camera, requesting a refund.",0
"I regret buying this speaker, it never worked properly.",0
"This phone is absolutely amazing, exceeded all my expectations!",1
"Very satisfied with the charger, will buy again from this brand.",1
"This charger is terrible, completely broke after two days.",0
"This shoes made my life so much easier, thank you!",1
"The blender broke on the first use, very frustrating.",0
"The chair is durable, stylish, and performs really well.",1
"Cheap material, not durable at all.",0
"Worst printer I have purchased, do not recommend at all.",0
"I love this book, works perfectly and looks great.",1
"This vacuum cleaner is terrible, completely broke after two days.",0
"The camera is durable, stylish, and performs really well.",1
"The jacket is durable, stylish, and performs really well.",1
"Superb build quality on this headphones, worth every rupee.",1
"Terrible experience, the monitor is defective and slow.",0
"Terrible experience, the shoes is defective and slow.",0
"Poor build quality, the monitor feels cheap and flimsy.",0
"This tablet is absolutely amazing, exceeded all my expectations!",1
"I love this phone, works perfectly and looks great.",1
"This router made my life so much easier, thank you!",1
"The shoes is durable, stylish, and performs really well.",1
"Superb build quality on this mouse, worth every rupee.",1
"Excellent quality vacuum cleaner, fast delivery and great packaging.",1
"Impressive headphones, customer service was also very helpful.",1
"Broke immediately, avoid this seller.",0
"Poor build quality, the jacket feels cheap and flimsy.",0
The printer is overpriced for such low quality.,0
"The vacuum cleaner is durable, stylish, and performs really well.",1
"I regret buying this printer, it never worked properly.",0
"This headphones made my life so much easier, thank you!",1
"Great value for money, this chair is fantastic.",1
"Great value for money, this phone is fantastic.",1
"Terrible experience, the charger is defective and slow.",0
"The watch is durable, stylish, and performs really well.",1
"Superb build quality on this charger, worth every rupee.",1
"The mouse broke on the first use, very frustrating.",0
"Excellent quality chair, fast delivery and great packaging.",1
"Excellent quality keyboard, fast delivery and great packaging.",1
"Great value for money, this keyboard is fantastic.",1
"The laptop is durable, stylish, and performs really well.",1
The speaker arrived damaged and customer support was unhelpful.,0
Good product but shipping was slow.,1
"This book is terrible, completely broke after two days.",0
"Fantastic purchase, highly satisfied.",1
"I love this vacuum cleaner, works perfectly and looks great.",1
"Superb build quality on this shoes, worth every rupee.",1
"The headphones is durable, stylish, and performs really well.",1
"This laptop is absolutely amazing, exceeded all my expectations!",1
"This laptop was a huge disappointment, not worth it.",0
"This monitor is terrible, completely broke after two days.",0
The monitor is overpriced for such low quality.,0
"This headphones was a huge disappointment, not worth it.",0
"Best printer I have ever bought, highly recommend it.",1
"The router broke on the first use, very frustrating.",0
"This keyboard is terrible, completely broke after two days.",0
"This speaker made my life so much easier, thank you!",1
"Excellent quality mouse, fast delivery and great packaging.",1
"Outstanding speaker, arrived early and works perfectly.",1
"The watch stopped working within a week, awful quality.",0
"Outstanding charger, arrived early and works perfectly.",1
"Fantastic purchase, highly satisfied.",1
"Extremely unhappy with this chair, requesting a refund.",0
"Superb build quality on this watch, worth every rupee.",1
"The headphones broke on the first use, very frustrating.",0
"Very disappointed with this vacuum cleaner, waste of money.",0
"I love this shoes, works perfectly and looks great.",1
"I regret buying this mouse, it never worked properly.",0
The jacket arrived damaged and customer support was unhelpful.,0
"This keyboard made my life so much easier, thank you!",1
"Worst monitor I have purchased, do not recommend at all.",0
"The jacket broke on the first use, very frustrating.",0
"The tablet stopped working within a week, awful quality.",0
"I regret buying this tablet, it never worked properly.",0
"Very satisfied with the chair, will buy again from this brand.",1
"Best speaker I have ever bought, highly recommend it.",1
"This backpack is terrible, completely broke after two days.",0
"Impressive laptop, customer service was also very helpful.",1
The watch arrived damaged and customer support was unhelpful.,0
"Very disappointed with this keyboard, waste of money.",0
The camera arrived damaged and customer support was unhelpful.,0
"Fantastic purchase, highly satisfied.",1
"Extremely unhappy with this backpack, requesting a refund.",0
"The laptop works flawlessly, very happy with this purchase.",1
"Very disappointed with this tablet, waste of money.",0
"Impressive tablet, customer service was also very helpful.",1
"This camera was a huge disappointment, not worth it.",0
"The book stopped working within a week, awful quality.",0
"Money wasted, extremely poor quality.",0
"Extremely unhappy with this charger, requesting a refund.",0
"Poor build quality, the book feels cheap and flimsy.",0
"Worst jacket I have purchased, do not recommend at all.",0
"I regret buying this watch, it never worked properly.",0
"Very satisfied with the router, will buy again from this brand.",1
The mouse is overpriced for such low quality.,0
"Poor build quality, the vacuum cleaner feels cheap and flimsy.",0
"Great value for money, this watch is fantastic.",1
"This vacuum cleaner made my life so much easier, thank you!",1
"Impressive charger, customer service was also very helpful.",1
"Worst shoes I have purchased, do not recommend at all.",0
"The router works flawlessly, very happy with this purchase.",1
"The speaker broke on the first use, very frustrating.",0
"This laptop is terrible, completely broke after two days.",0
"Terrible experience, the jacket is defective and slow.",0
"Very disappointed with this book, waste of money.",0
"Works as described, very pleased.",1
"Poor build quality, the watch feels cheap and flimsy.",0
"Very satisfied with the book, will buy again from this brand.",1
"Outstanding backpack, arrived early and works perfectly.",1
"Very disappointed with this blender, waste of money.",0
"Extremely unhappy with this blender, requesting a refund.",0
"Outstanding shoes, arrived early and works perfectly.",1
"I regret buying this blender, it never worked properly.",0
"Terrible experience, the printer is defective and slow.",0
"Very disappointed with this jacket, waste of money.",0
"Poor build quality, the mouse feels cheap and flimsy.",0
"Works as described, very pleased.",1
"Terrible experience, the vacuum cleaner is defective and slow.",0
"Excellent quality headphones, fast delivery and great packaging.",1
"Works as described, very pleased.",1
"Great value for money, this router is fantastic.",1
"Great value for money, this vacuum cleaner is fantastic.",1
"The camera works flawlessly, very happy with this purchase.",1
"Outstanding tablet, arrived early and works perfectly.",1
The backpack is overpriced for such low quality.,0
"Best book I have ever bought, highly recommend it.",1
"The phone broke on the first use, very frustrating.",0
"Outstanding laptop, arrived early and works perfectly.",1
"This chair is absolutely amazing, exceeded all my expectations!",1
"Best backpack I have ever bought, highly recommend it.",1
"Very satisfied with the speaker, will buy again from this brand.",1
The blender arrived damaged and customer support was unhelpful.,0
"Impressive router, customer service was also very helpful.",1
"Extremely unhappy with this router, requesting a refund.",0
"The jacket works flawlessly, very happy with this purchase.",1
"Impressive jacket, customer service was also very helpful.",1
"Poor build quality, the printer feels cheap and flimsy.",0
"Superb build quality on this camera, worth every rupee.",1
"I regret buying this charger, it never worked properly.",0
"Poor build quality, the laptop feels cheap and flimsy.",0
"I love this keyboard, works perfectly and looks great.",1
"Worst headphones I have purchased, do not recommend at all.",0
"This charger made my life so much easier, thank you!",1
"Terrible experience, the mouse is defective and slow.",0
"Very disappointed with this chair, waste of money.",0
"This phone was a huge disappointment, not worth it.",0
"Great value for money, this printer is fantastic.",1
"Worst watch I have purchased, do not recommend at all.",0
"Extremely unhappy with this speaker, requesting a refund.",0
"The blender is durable, stylish, and performs really well.",1
"I love this router, works perfectly and looks great.",1
"Worst blender I have purchased, do not recommend at all.",0
"I love this headphones, works perfectly and looks great.",1
"Best keyboard I have ever bought, highly recommend it.",1
Good product but shipping was slow.,1
"The headphones works flawlessly, very happy with this purchase.",1
"The blender works flawlessly, very happy with this purchase.",1
"Superb build quality on this tablet, worth every rupee.",1
"The backpack stopped working within a week, awful quality.",0
"Very satisfied with the shoes, will buy again from this brand.",1
Good product but shipping was slow.,1
"Superb build quality on this blender, worth every rupee.",1
"This mouse is absolutely amazing, exceeded all my expectations!",1
"Extremely unhappy with this book, requesting a refund.",0
"Impressive shoes, customer service was also very helpful.",1
"The printer works flawlessly, very happy with this purchase.",1
"The tablet works flawlessly, very happy with this purchase.",1
"Excellent quality phone, fast delivery and great packaging.",1
"Very disappointed with this router, waste of money.",0
"Superb build quality on this printer, worth every rupee.",1
"Works as described, very pleased.",1
"Very disappointed with this speaker, waste of money.",0
"Very disappointed with this mouse, waste of money.",0
"Poor build quality, the backpack feels cheap and flimsy.",0
"This keyboard was a huge disappointment, not worth it.",0
"Worst charger I have purchased, do not recommend at all.",0
"The book broke on the first use, very frustrating.",0
The jacket is overpriced for such low quality.,0
"Superb build quality on this chair, worth every rupee.",1
"Great value for money, this backpack is fantastic.",1
"The charger broke on the first use, very frustrating.",0
"Very disappointed with this phone, waste of money.",0
The speaker is overpriced for such low quality.,0
"I regret buying this monitor, it never worked properly.",0
"The backpack broke on the first use, very frustrating.",0
"Worst backpack I have purchased, do not recommend at all.",0
"The laptop broke on the first use, very frustrating.",0
"Worst phone I have purchased, do not recommend at all.",0
"Poor build quality, the phone feels cheap and flimsy.",0
"This router is absolutely amazing, exceeded all my expectations!",1
The shoes arrived damaged and customer support was unhelpful.,0
"The backpack is durable, stylish, and performs really well.",1
"This watch was a huge disappointment, not worth it.",0
"This mouse is terrible, completely broke after two days.",0
"This monitor made my life so much easier, thank you!",1
The charger arrived damaged and customer support was unhelpful.,0
"I love this laptop, works perfectly and looks great.",1
"I regret buying this backpack, it never worked properly.",0
